,M13-1,M13-7,M13-16,M13-18,M13-23,M13-25,M13-30,M13-33,M13-35,M13-40,M13-43,M13-45,M13-47,M13-49,UC179,UC21,UC397,UC264,UC220,UC51,UC222,UC13,UC30,UC99,UC95,UC338,UC100,UC54,UC56,UC384,UC43,UC98,UC50,UC129,UC77,UC357
ENSG00000001461,-1.5224008674029847,-1.0419523274746723,-0.9943511294863161,-1.1488365412906565,-1.1007059767481615,-0.9775214011985668,-1.15846250262044,-1.4972369456896684,-1.343085715735281,-1.1917017445183584,-1.1293877630880305,-0.9771998815643979,-1.2540893321859135,-0.9704181756703576,-1.1233874624815927,-0.9556380161853223,-0.9780947588242392,-0.9683159657990517,-0.962382961703408,-0.959288770067183,-0.9606455141609093,-2.334948182173573,-1.0149043146083117,-1.5579794722424818,-0.9761045562531316,-0.9552357624524216,-0.9765961216970579,-0.9791244502088844,-1.000182208877987,-1.5203514230380175,-1.2179633586847944,-0.9631778471576717,-1.220947583236492,-1.01147735059808,-0.9703202043245834,-0.9629076402242834
ENSG00000001497,-3.108863906979349,-0.9427896908512554,-1.2314768127501978,-1.0659760962686646,-0.9431586934539888,-0.9612068180289709,-1.084950947607485,-0.9552158738948717,-1.480016606043461,-0.9982469723114065,-1.279260255234911,-1.0107286427209063,-1.2138695654454092,-0.967138541981063,-1.212541821805142,-1.0484333047113452,-1.0627726594693179,-0.9444393251152439,-0.9552809297390615,-0.9690460048502372,-1.0328310410263424,-1.2771673064272613,-0.9610364557177522,-1.0373796707826703,-1.2793671251311873,-0.9520404113328939,-1.1417853772776427,-0.9830074095412658,-1.0952382082985548,-1.17557864863231,-1.0314615125427689,-0.9427896908512554,-1.7070724535215827,-1.0300960025009052,-0.9593193882789819,-1.0003134872883988
ENSG00000001561,-0.997335071056311,-0.9708734001822261,-0.9715466288787724,-1.1639191238288764,-0.9541958391476223,-1.0573666033937037,-1.002309891919517,-0.9695138539884569,-1.0019905396326603,-0.9550324167656277,-1.4005158235839767,-1.1250127268619736,-0.969748207489598,-1.0747011143827634,-0.9538820411445356,-1.082604978303365,-1.2081206023279387,-0.9656593240385851,-1.177385685964244,-3.0764388409130765,-1.2042922081364562,-1.032921262020146,-1.759461555939564,-1.0155777096236718,-0.9513348212855041,-0.9554269406347615,-1.0508229922759473,-0.9595307801215419,-1.291210215715681,-1.2578207122490206,-1.4899675939649046,-0.952958237935257,-0.9702517539223946,-1.1237336001232365,-1.0370187003266425,-1.40893677070999
ENSG00000001617,-0.9648447008596361,-0.9596619006499815,-1.1750162282830583,-1.2064133462474322,-0.9994143855471413,-0.967793621430346,-1.7848212712620928,-1.0114989589685277,-1.311596929008614,-0.971455083420125,-0.9883225634488564,-0.9600244533388158,-1.0612599328230805,-1.001788844582208,-1.05276208432311,-2.4288586924593045,-1.2023366806460771,-1.2481905803169526,-0.9620549292217586,-0.9857300475794585,-1.287930103876466,-0.9689852768601576,-1.0060475929222987,-1.7261908481019597,-1.0205689275310168,-0.996327746505966,-0.9736299638372747,-1.0508325264924274,-0.9709237801109417,-1.9508703476822098,-0.9747915186914948,-0.9606806031298138,-1.6109836170136316,-1.5338073901808946,-0.9595740921157601,-0.9954023573159535
ENSG00000001629,-1.196970006000047,-1.8625672006311593,-2.8056864394318897,-1.4639590913783294,-1.7745672633903464,-1.3941145106126622,-0.9822005711144903,-0.9901452390728307,-0.9775134979646888,-0.9679815595849611,-0.9859052805276853,-1.9706278793760288,-1.0307180331806995,-0.9655174560004648,-0.9771602079034466,-1.041599189424357,-0.9677900679369534,-0.9808330192084028,-2.581201747700817,-1.5571803229609307,-0.9779406494649514,-0.9882050156167874,-0.9740577153756169,-0.9829370167738188,-0.9971305752577807,-3.0003271896757253,-1.5403707301776535,-1.0211718114083623,-1.0168185491452992,-0.9700674518781757,-0.9752609079663209,-0.9929460730115741,-1.0994691970742356,-0.9827944908065994,-1.0887625822042204,-1.6134915291473604
ENSG00000001630,-0.973553433600516,-0.9908434703655807,-0.9797569218456541,-0.9789571844267246,-0.9786184130374771,-0.9848583033180176,-1.1210908002668698,-1.0376688804922172,-1.3405283139516284,-0.985792968911106,-1.613905996649321,-1.1625227455411644,-1.7262135813706068,-0.9830995224887639,-1.016402753830716,-1.3323999568444247,-0.9811510750399897,-0.9799531156193257,-2.4940879558599214,-1.8445500499038499,-0.9795209842207291,-1.1330745053863982,-0.9794799904836257,-3.5080534918128974,-0.989185261334689,-1.572962537152929,-1.5534198475192051,-2.105026058251777,-1.0093050673892656,-0.9767386629595487,-0.9704978470612872,-0.977090463112714,-1.5427149146666004,-0.9709364699803086,-0.9794491490842852,-1.81023815744018
ENSG00000001631,-1.0494169279445846,-0.9609688981771389,-1.485396620772428,-1.02821236040865,-1.1881441252258056,-0.998864195153694,-1.141671117158199,-0.9447633667547553,-1.3396282803938016,-1.273430345218772,-1.124901673340296,-1.1903801546922872,-1.0350542086437495,-1.1493886849350416,-0.9575668211418094,-0.9789947416729247,-0.9810822892978704,-0.9494863140683212,-0.9382361282933873,-1.0693909800993744,-1.0232509064402897,-0.9720493500121578,-1.0539207995668762,-1.8928076243102556,-1.352822776657613,-0.9821888319470699,-1.2783292783733124,-0.9991032916178166,-0.9487551326377284,-1.1686421194876688,-0.9962131623705384,-0.946544373266932,-1.1249836366665158,-0.955634730412257,-1.0237516735241874,-0.9384103103986717
ENSG00000002016,-1.0287645457917536,-1.0002343630553818,-2.4778505297247584,-0.9800583649818663,-1.432935997684411,-0.9637037095698426,-0.9763823623413839,-1.047928993021866,-1.4818606905723122,-1.180690812432001,-0.9706087770116486,-0.9789921498716125,-0.9731600767580053,-1.8442194143354125,-1.5397249623845497,-0.9753380303122583,-0.974339481643427,-0.9757191287714599,-1.928199800266011,-0.9809817423324946,-0.9706166858862693,-1.503973819274075,-1.0929361365435692,-1.5722497695089597,-1.1991397700222683,-0.9755860189082686,-0.9818584853616488,-0.9787230093095923,-1.6200509919938508,-0.9795065506586162,-0.9688372449061704,-0.9774054834514203,-1.548229158195604,-1.086376060892953,-1.2431797281069228,-1.0068419942305256
ENSG00000002330,-0.9679588861369973,-0.9821637562548651,-2.2791589008810336,-1.485963372592583,-1.2796949771821828,-0.9769024023106839,-0.9853943275767232,-0.9855567831278785,-0.9681841235482065,-1.0233592588380396,-2.213247910240183,-2.256327628438924,-0.9982876918811098,-2.3357790174847293,-1.6869524164741256,-1.4052387083472975,-1.5456849522128908,-0.981195229229399,-1.0326452394770724,-0.9761249791796551,-1.7000135639994347,-0.9896860104036197,-0.9871063195889869,-1.181017503854735,-1.013667785510274,-0.9861987001584245,-1.2768082499124642,-2.8234928586984105,-0.9789602457010005,-0.9853943275767231,-0.9814100491001352,-0.9786666660305092,-0.9790743088974294,-1.0305401024950562,-0.9785811710298153,-1.5291358139456406
ENSG00000002549,-0.9855408310304978,-0.9635737564562653,-1.023499854346836,-5.962766346826142,-0.9586217404535404,-1.9386368993297691,-0.9484270720183243,-1.4984469462140622,-1.0077397490594575,-1.8533429071728533,-0.9785344747696826,-0.9796675135455548,-1.1393038878225623,-1.1882559581552903,-1.0741103935276306,-0.9526955612654737,-0.9817413653168632,-1.2467561875713993,-3.1056739464211907,-1.3985209045767861,-1.393242410577839,-0.9790599435380607,-0.955327163682821,-1.0434142292305955,-0.9493075548041734,-0.9852956051972731,-0.9776178808588506,-1.220970946499047,-1.0146540994946927,-1.12421392698981,-2.8513413034190354,-0.9815402333379002,-0.9539816812571214,-1.0408793912811842,-1.079782437543648,-0.9802790846687521
