M13-1	M13-7	M13-16	M13-18	M13-23	M13-25	M13-30	M13-33	M13-35	M13-40	M13-43	M13-45	M13-47	M13-49	UC179	UC21	UC397	UC264	UC220	UC51	UC222	UC13	UC30	UC99	UC95	UC338	UC100	UC54	UC56	UC384	UC43	UC98	UC50	UC129	UC77	UC357
ENSG00000003147	147.53	181.84	252.52	154.91	121.11	161.65	152.02	136.01	172.2	178.91	147.04	221.86	173.24	252.9	170.42	178.15	140.66	173.68	150.22	83.38	178.84	154.16	189.3	235.36	223.71	208.6	136.56	184.79	179.21	222.4	187.32	177.3	196.46	191.26	167.9	148.5
ENSG00000003249	860.65	796.89	860.86	501	879.54	857.14	819.13	691.96	462.55	899.33	944.69	518.63	947.76	977.84	866.59	640.31	1543.87	458.33	448.75	922.52	1161.31	706.06	683.19	621.45	840.41	1314.63	560.97	1014.46	633.5	513.56	699.21	784.86	875	1173.65	785.35	555.72
ENSG00000003393	1693.81	1695.4	1741.06	1620.39	1561.32	1552.65	1562.98	1689.58	2054.9	1814.1	1723.92	1770.23	1537.18	1749.93	1703.16	1487.98	1438.16	1904.57	1618.43	1843.22	1602.06	1867.64	1824.41	1685.99	1801.86	1623.76	1907.65	1574.77	1655.27	1454.2	1677.39	1705.71	1894.7	1575.23	1605.94	1555.56
ENSG00000003400	749.38	625.16	664.38	552.21	605.51	677.53	612.4	729.69	530.09	566.22	577.74	509.78	612.78	684.54	757.78	741.12	716.51	716.77	516.55	519.76	621.46	585.71	604.8	653.68	654.59	628.1	652.63	529.91	613.69	665.95	629.52	629.85	758.36	472.43	645.21	608.66
ENSG00000003402	10103.93	8542.98	7671.09	8731.15	8854	10213.98	8199.9	9865.9	8859.22	9441.92	10251.39	8710.37	8820.16	9230.02	9361.52	8202.78	12426.66	9741.23	7920.1	8965.41	8752.05	9119.24	8896.56	8603.92	8955.05	8041.64	8761.11	8431.91	8798.47	9996.56	9272.62	9217.32	10115.79	10285.56	9418.16	9352.72
ENSG00000003436	1085.82	1328.52	1721.59	1252.45	1638.69	1005.36	826.58	1457.75	1144.92	1284.25	1115.6	1025.03	1426.15	1370.52	1340.75	1429.15	1040.98	1297.84	1036.96	996.14	1243.47	1099.52	1754.65	1220.76	1458.3	1416.73	1161.91	965.84	1209.61	1471.61	1435.66	1274.95	1201.21	816.48	1163.61	1569.94
ENSG00000003509	830.39	862.87	799.81	777.07	901.1	768.82	638.13	1061.92	943.93	890.76	915.39	895.38	819.78	807.44	1063.44	813.84	815.35	792.06	784.01	770.32	842	897.17	1022.5	828.31	928.22	690.92	949.99	900.36	894.87	772.92	1064.5	868.54	833.83	733.01	846.73	877.69
ENSG00000003756	3424.8	3747.04	4243.6	3811.52	3624.59	3661.42	4138.13	4118.5	4009.15	4464.45	3569.67	3646.02	3832.51	3876.38	4005.74	3962.01	4269.42	3877.2	3037.93	3617.26	3662.73	3997.76	4061.23	3651.76	4191.64	4315.48	3653.58	3914.83	3661.19	3797.38	4114.86	3881.49	4031.13	3810.18	3756.94	3988.36
ENSG00000003987	30.39	59.7	51.5	24.78	50.44	48.05	64.63	64.75	46.44	50.75	34.46	28.29	45.76	94.44	50.52	63.4	71.33	30.72	56.78	48.33	60.56	56.12	34.67	48.46	54.17	67.72	60.88	36.1	63.39	51.26	60.26	47.75	16.63	35.87	55.6	57.07
ENSG00000003989	6007.45	6953.37	7126.49	7724.3	7200.91	7343.56	9107.57	6120.44	7662.35	8860.84	6541.36	5913.41	7785.58	6710.85	5663.12	9014.33	6948.19	6107.61	5317.76	5714.5	7756.83	6788.29	6989.84	8604.48	8013.92	9142.3	5697.83	7674.56	6955.57	8304.45	6153.26	7081.83	7162.5	6120.19	7490.06	8424.76
ENSG00000004059	1934.16	2015.71	1829.09	1895.6	2077.94	1895.94	1907.65	2136.25	1872.43	1729.76	1940.52	1988.62	1932.32	2149.87	2082.4	1896.27	1919.54	1789.62	2120	1940.82	2067.26	1930.84	1857.03	1927.02	1887.08	1851.18	2062.7	2060.8	1971.75	2039.03	2106.6	1953.74	1745.61	1920.6	2004.12	2021.26
ENSG00000004139	111.31	139.17	178.05	141.7	107.36	152.27	104.06	176.23	181.51	128.81	150.56	131.45	139.94	137.02	147.44	107.75	215.27	124.33	129.13	155.03	133.31	145.62	154.85	124.26	123.05	123.76	143.01	133.79	143.97	133.77	160.88	143.97	156.52	161.81	131.64	133.62
ENSG00000004142	7281.09	7698.7	7423.4	7961.16	7390.66	7459.45	7362.24	7889.1	8440.29	7103.69	8095.98	7766.17	7211.36	7325.41	8140.57	7507.03	6932.27	7512.95	8199.38	8215.77	7760.2	7989.17	7580.51	7315.13	6949.99	7784.23	7747.53	7636.05	6660.73	7431.59	7782.92	7623.84	7655.29	7690.69	7407.27	7475.64
ENSG00000004399	4458.49	3527.08	3064.03	3436.29	3679.68	3165.72	3463.16	3500.14	4031.18	2906.01	3904.5	3432.56	2693.2	3160.84	3569.9	3129.81	3518.7	3839.48	2996.3	3402.82	3386.12	3641.44	3540.5	3343.82	3617.1	3184.68	3601.38	3900.02	3470.47	3334.29	3682.39	3438.44	3224.75	2952.34	3602.21	3096.13
ENSG00000004455	2816.82	2993.86	3131.22	3454.31	3222.64	3087.3	3057.95	3280.48	3035.4	2874.06	2985.14	3021.27	2966.15	2869.7	2982.04	2674.83	2676.22	2725.36	3135.01	3017.38	3219.4	2984.9	3289.76	3045.48	3199.62	2746.73	3148.75	3382.64	2873.77	3060.39	3487.1	3055.16	2885.47	2934.94	3018.32	3287.4
ENSG00000004468	1009.01	1312.95	1267.32	1420.8	956.17	862.1	1824.88	1180.04	1465.93	1153.11	709.62	1110.03	1195.33	1156.65	1310.48	1072.91	780.01	1395.57	1544.86	1573.52	928.4	1001.76	807.3	1318.6	1157.81	1424.72	1263.83	1592.65	1138.92	929.73	955.38	1152.94	704.6	1121.02	1229.07	1417.57
ENSG00000004478	2020.61	2226.45	2752.99	2550.69	1983.96	2092.9	2073.64	2142.8	2952.78	2179.26	2163.3	2186.5	2024.38	2314.38	1839.66	1709.65	1756.92	2241.36	2313.62	2382.15	2275.65	2521.01	2743.44	2019.74	2277.67	2093.4	2354.51	2069.93	1893.33	2370.98	2218.84	2240.04	2232.72	2083.3	1984.43	2140.9
ENSG00000004487	1998.66	2068.66	2085.81	2049.48	2141.02	2113.7	1930.12	1973.66	2124.98	1961.11	1936.91	2068.84	1918.31	2039.71	1880.51	2146.45	1861.29	1969.32	2041.42	1806.68	2055.2	2067.7	1966.98	2162.15	2177.45	2082.79	2006.98	2067.29	1956.79	2150.07	2125.35	2031.29	1939.48	1970.96	2069.08	2045.44
ENSG00000004534	3494.08	3458.88	3963.38	4081.36	3258.54	3338.36	3863.35	3986.91	3795.06	3765.28	3452.07	3811.33	4276.41	3836.77	3982.5	3502.47	3694.55	3560.83	2615.12	3546.59	4080.19	3438.31	3898.24	4446.35	4488.69	4052.48	3702.7	4090.88	3352.67	3687.79	4736.91	3773.74	4955.89	3134.22	3691.45	3170.21
ENSG00000004660	328.3	425.01	421.24	282.33	409.89	233.29	343.06	230.38	491.46	170.99	337.89	392.19	293.01	273.61	157.8	293.12	315.56	238.24	287.29	346.63	329.89	470.72	288.98	314.13	379.17	290.41	376.96	325.54	537.39	215.99	276.11	315.75	121.61	316.29	335.67	468.68
ENSG00000004700	700.5	655.43	526.75	669.97	744.58	702.33	740.25	599.12	690.29	723.84	734.39	666.42	655.64	658.31	586.39	653.73	640.29	660.91	668.33	745.52	717.75	657.35	678.68	747.78	674.73	623.25	699.89	705.87	724.3	663.79	554.43	663.11	655.23	605.85	696.9	679.28
ENSG00000004766	1103.14	962.68	950.83	1076.43	1062.28	944.94	1037.36	959.63	1015.98	1073.58	1014.03	981.79	1013.68	791.62	958.55	882.63	937.28	1028.26	953.58	1016.15	930.96	1045.38	968.16	956.18	978.34	897.67	1008.25	1070.39	988.87	965.65	1010.8	992.08	1060.33	1065.89	991.66	1019.85
ENSG00000004776	17290.23	11597.65	9560.13	15592.78	11966.88	12601.57	12629.99	10783	13484.07	9999.55	15840.93	21329.76	10888.51	11323.99	11110.98	8785.04	15514.71	18667.33	14826.63	20970.68	13549.87	19097.79	16416.09	10549.24	10516.69	8951.84	12946.22	6956.76	11655.88	13950.94	11294.4	13112.7	10414.61	13950.71	12203.32	10386.82
ENSG00000004777	296.52	322.94	341.32	320.63	292	292.26	331.87	438.67	359.81	286.67	294.09	353.61	289.92	313.16	396.91	410.37	383.19	300.17	309.8	336.9	293.62	300.18	326.6	279.28	325.4	330.38	294.81	298.24	339.49	330.52	378.52	323.57	274.02	345.13	316.67	318.78
ENSG00000004779	3690.65	4029.35	4032.62	4608.19	3896.04	3959.1	4027.81	5095.84	3886.55	4107.28	4839.84	4221.82	4432.07	3550.18	5087.72	4136.97	3833.45	4108.44	3943.27	4515.15	5113.68	4775.6	4691.95	3367.27	3953.88	3784.03	4104.44	4832.44	3853.97	3697.95	4764.23	4212.52	3938.91	3751.17	3962.14	4069.25
ENSG00000004799	33857.51	24074.82	11655.14	54817.28	36280.36	44745.09	27911.9	12562.54	3706.87	3048.3	36551.09	78787.34	62383.07	18565.79	15698.7	36132.01	22163.29	47448.45	40815.51	24353.74	47966.42	12264.39	56437.52	14067.62	26480.42	42611.67	40230.56	37651.06	55100.87	19735.34	46219.26	32207.85	81195.82	14362.09	37453.29	7997.83
